type,title,year,min_players,max_players,min_time,max_time,avg_time,min_age,com_age,bay_rating,avg_rating,num_ratings,complexity,comp_votes,comments,views,fans,owners,traders,wanters,wishers,mechanics,categories
boardgame,Power Grid,2004,2,6,120,120,120.0,12,12,7.77434,7.8704,53778,3.2735,4603,10007,3045601,2923,63052,884,1342,9597,"['Auction/Bidding', 'Auction: Turn Order Until Pass', 'Catch the Leader', 'Income', 'Market', 'Network and Route Building', 'Turn Order: Stat-Based']","['Economic', 'Industry / Manufacturing']"
boardgame,Ticket to Ride: Europe,2005,2,5,30,60,45.0,8,8,7.43616,7.55203,53709,1.9455,3305,8243,1296041,1942,74159,562,750,5383,"['Card Drafting', 'Connections', 'Hand Management', 'Network and Route Building', 'Push Your Luck', 'Set Collection']",['Trains']
boardgame,Splendor,2014,2,4,30,30,30.0,10,8,7.34514,7.45643,53172,1.8014,2009,7927,1820440,2056,73913,699,773,6986,"['Card Drafting', 'Contracts', 'Set Collection']","['Card Game', 'Economic', 'Renaissance']"
boardgame,Love Letter,2012,2,4,20,20,20.0,10,8,7.14596,7.2355,52199,1.1922,2482,9357,1637081,1796,86909,1137,225,3036,"['Hand Management', 'Player Elimination']","['Card Game', 'Deduction', 'Renaissance']"
boardgame,7 Wonders Duel,2015,2,2,30,30,30.0,10,10,7.97704,8.1045,51560,2.2192,1574,7203,1792211,2191,79984,551,946,7155,"['Card Drafting', 'Drafting', 'Set Collection', 'Sudden Death Ending', 'Tug of War']","['Ancient', 'Card Game', 'City Building', 'Civilization']"
boardgame,Scythe,2016,1,5,90,115,102.5,14,12,8.09631,8.25326,50692,3.3919,1985,7856,5605168,5354,66515,415,1951,15872,"['Area Majority / Influence', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Moving Multiple Units', 'Narrative Choice / Paragraph', 'Race', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Variable Player Powers']","['Economic', 'Fighting', 'Science Fiction', 'Territory Building']"
boardgame,Dixit,2008,3,6,30,30,30.0,8,8,7.16596,7.27223,46924,1.2259,1917,7626,1655638,1674,63855,842,437,4933,"['Communication Limits', 'Simultaneous Action Selection', 'Storytelling', 'Targeted Clues', 'Voting']","['Card Game', 'Humor', 'Party Game']"
boardgame,Citadels,2000,2,8,20,60,40.0,10,10,6.98623,7.08863,46472,2.0533,3600,9543,1694713,1537,61636,1455,332,3064,"['Action Drafting', 'Card Drafting', 'Lose a Turn', 'Set Collection', 'Turn Order: Role Order', 'Variable Player Powers']","['Bluffing', 'Card Game', 'City Building', 'Deduction', 'Fantasy', 'Medieval']"
boardgame,Race for the Galaxy,2007,2,4,30,60,45.0,12,12,7.6593,7.76043,43949,2.9775,3373,9273,2956422,3224,53024,1066,1048,7961,"['Follow', 'Hand Management', 'Simultaneous Action Selection', 'Turn Order: Role Order', 'Variable Phase Order', 'Variable Player Powers']","['Card Game', 'Civilization', 'Economic', 'Science Fiction', 'Space Exploration']"
boardgame,Azul,2017,2,4,30,45,37.5,8,8,7.72877,7.85288,43842,1.7756,1065,5713,1691465,1765,63894,327,1136,8685,"['Drafting', 'End Game Bonuses', 'Pattern Building', 'Set Collection', 'Tile Placement', 'Turn Order: Claim Action']","['Abstract Strategy', 'Renaissance']"
boardgame,Lords of Waterdeep,2012,2,5,60,120,90.0,12,10,7.63127,7.75679,42969,2.4702,2061,7335,1970235,3038,52488,571,1181,8656,"['Card Drafting', 'Contracts', 'Hidden Roles', 'Increase Value of Unchosen Resources', 'Ownership', 'Set Collection', 'Take That', 'Turn Order: Claim Action', 'Worker Placement']","['City Building', 'Fantasy']"
boardgame,The Castles of Burgundy,2011,2,4,30,90,60.0,12,12,8.01123,8.12918,42490,3.0009,2222,7331,2752895,2271,58090,689,1081,8663,"['Dice Rolling', 'Grid Coverage', 'Hexagon Grid', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement with Dice Workers']","['Dice', 'Medieval', 'Territory Building']"
boardgame,Stone Age,2008,2,4,60,90,75.0,10,10,7.47042,7.57914,42262,2.4805,2697,7479,1963722,1926,44865,499,1593,9124,"['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']","['Dice', 'Economic', 'Prehistoric']"
boardgame,Patchwork,2014,2,2,15,30,22.5,8,6,7.56595,7.6726,40998,1.6557,1092,5452,1135361,1119,59721,388,796,5634,"['Card Drafting', 'Grid Coverage', 'Income', 'Rondel', 'Square Grid', 'Tile Placement', 'Time Track', 'Victory Points as a Resource']","['Abstract Strategy', 'Puzzle']"
boardgame,Munchkin,2001,3,6,60,120,90.0,10,12,5.74013,5.90967,39418,1.8,2255,7630,1152548,1949,69251,2357,118,1613,"['Hand Management', 'Take That', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Fighting', 'Humor']"
boardgame,Forbidden Island,2010,2,4,30,30,30.0,10,8,6.7088,6.80114,39230,1.7401,1951,7722,1346468,1628,67424,1946,220,3561,"['Action Points', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Map Reduction', 'Modular Board', 'Pick-up and Deliver', 'Set Collection', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Fantasy']"
boardgame,Twilight Struggle,2005,2,2,120,180,150.0,13,14,8.15078,8.30499,38146,3.5758,3428,8384,4629432,3967,52457,834,1343,9678,"['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Tug of War']","['Modern Warfare', 'Political', 'Wargame']"
boardgame,Pandemic Legacy: Season 1,2015,2,4,60,60,60.0,13,12,8.47155,8.62286,37271,2.8309,1041,5848,3100962,2581,58931,270,816,9799,"['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']","['Environmental', 'Medical']"
boardgame,Dead of Winter: A Crossroads Game,2014,2,5,60,120,90.0,13,12,7.45985,7.60633,37059,3.0101,1391,5293,2354819,2831,49944,1138,844,8201,"['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Semi-Cooperative Game', 'Storytelling', 'Trading', 'Traitor Game', 'Variable Player Powers', 'Voting']","['Bluffing', 'Deduction', 'Horror', 'Zombies']"
boardgame,Terra Mystica,2012,2,5,60,150,105.0,12,14,8.0107,8.16079,36565,3.9545,2482,5533,3726619,2978,39956,567,1700,11593,"['End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Setup', 'Victory Points as a Resource']","['Civilization', 'Economic', 'Fantasy', 'Territory Building']"
boardgame,Bohnanza,1997,2,7,45,45,45.0,13,8,6.93882,7.03759,36390,1.6739,2748,8260,1149231,768,53138,949,336,2289,"['Hand Management', 'Negotiation', 'Set Collection', 'Trading']","['Card Game', 'Farming', 'Negotiation']"
boardgame,Hanabi,2010,2,5,25,25,25.0,8,10,7.01591,7.10814,36070,1.6942,1439,6256,1104236,922,59068,1266,263,2966,"['Communication Limits', 'Cooperative Game', 'Hand Management', 'Memory', 'Roles with Asymmetric Information', 'Set Collection']","['Card Game', 'Deduction', 'Memory']"
boardgame,Arkham Horror,2005,1,8,120,240,180.0,14,14,7.08337,7.268,35891,3.5684,3707,8344,3450478,4906,47145,1613,447,4754,"['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Role Playing', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']"
boardgame,Gloomhaven,2017,1,4,60,120,90.0,12,14,8.57445,8.82911,35313,3.8295,1525,6630,9509766,6311,56770,343,1410,14778,"['Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Legacy Game', 'Modular Board', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']"
boardgame,Lost Cities,1999,2,2,30,30,30.0,10,8,7.07385,7.16889,34975,1.5012,2843,8545,1375612,817,47897,843,475,3785,"['Hand Management', 'Score-and-Reset Game', 'Set Collection']","['Card Game', 'Exploration']"
boardgame,Betrayal at House on the Hill,2004,3,6,60,60,60.0,12,12,6.86949,7.06741,34467,2.382,1754,7465,2257666,2281,54030,1172,526,5332,"['Dice Rolling', 'Map Addition', 'Modular Board', 'Player Elimination', 'Role Playing', 'Storytelling', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Horror', 'Miniatures']"
boardgame,The Resistance,2009,5,10,30,30,30.0,13,12,7.17797,7.30265,34379,1.6135,1436,5953,1593540,1489,52563,1294,262,3351,"['Hidden Roles', 'Memory', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Voting']","['Bluffing', 'Card Game', 'Deduction', 'Negotiation', 'Party Game', 'Science Fiction', 'Spies/Secret Agents']"
boardgame,Jaipur,2009,2,2,30,30,30.0,12,8,7.39786,7.51166,33256,1.4981,1305,5720,1067078,1009,47509,367,948,5638,"['Card Drafting', 'Hand Management', 'Score-and-Reset Game', 'Set Collection']","['Animals', 'Card Game']"
boardgame,Coup,2012,2,6,15,15,15.0,13,10,6.89208,7.01779,33256,1.4082,1144,5950,1530009,1106,54321,1070,232,2888,"['Hidden Roles', 'Memory', 'Player Elimination', 'Take That', 'Variable Player Powers']","['Bluffing', 'Card Game', 'Deduction', 'Party Game', 'Political']"
boardgame,Star Realms,2014,2,2,20,20,20.0,12,8,7.45525,7.59313,33224,1.947,1150,5418,1327268,1814,48313,683,319,3374,"['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Take That']","['Card Game', 'Fighting', 'Science Fiction']"
boardgame,Takenoko,2011,2,4,45,45,45.0,8,8,7.15709,7.28386,32222,1.9783,1247,4912,1186410,1457,48576,572,779,6055,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Network and Route Building', 'Pattern Building', 'Set Collection', 'Tile Placement']","['Animals', 'Environmental', 'Farming', 'Territory Building']"
boardgame,Battlestar Galactica: The Board Game,2008,3,6,120,180,150.0,14,14,7.57838,7.74029,31701,3.2372,2066,6522,2273512,3141,34704,717,773,5696,"['Area Movement', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Once-Per-Game Abilities', 'Role Playing', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Variable Setup', 'Voting']","['Bluffing', 'Deduction', 'Movies / TV / Radio theme', 'Political', 'Science Fiction', 'Space Exploration', 'Spies/Secret Agents']"
boardgame,Sushi Go!,2013,2,5,15,15,15.0,8,6,6.94561,7.05746,31234,1.1593,973,4891,873366,746,53078,876,168,2008,"['Card Drafting', 'Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']",['Card Game']
boardgame,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,60,120,90.0,14,12,7.69783,7.86569,31015,3.7711,1730,5309,3299389,2929,47368,984,1425,10432,"['Action Queue', 'Cooperative Game', 'Dice Rolling', 'Hexagon Grid', 'Narrative Choice / Paragraph', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']","['Adventure', 'Exploration', 'Fighting', 'Novel-based']"
boardgame,Magic: The Gathering,1993,2,2,20,20,20.0,13,12,7.34547,7.5035,30654,3.2005,1985,6724,956681,1751,33607,799,211,586,"['Deck Construction', 'Hand Management', 'Interrupts', 'Take That']","['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']"
boardgame,Blood Rage,2015,2,4,60,90,75.0,14,12,7.82533,8.00631,30644,2.877,1008,4700,2583137,2240,36622,297,1462,9371,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Card Drafting', 'Hand Management', 'Memory', 'Simultaneous Action Selection']","['Fantasy', 'Fighting', 'Mythology']"
boardgame,Five Tribes,2014,2,4,40,80,60.0,13,12,7.63292,7.77803,29648,2.8527,1161,4607,1354176,1290,38186,381,1279,8273,"['Auction/Bidding', 'End Game Bonuses', 'Hidden Victory Points', 'Mancala', 'Modular Board', 'Set Collection', 'Square Grid', 'Turn Order: Auction', 'Variable Player Powers', 'Variable Setup', 'Victory Points as a Resource']","['Animals', 'Arabian', 'Fantasy', 'Mythology']"
boardgame,Wingspan,2019,1,5,40,70,55.0,10,10,7.92812,8.12455,29301,2.3824,1033,4356,1590193,2368,40088,103,1759,10786,"['Card Drafting', 'Dice Rolling', 'Drafting', 'Hand Management', 'Set Collection', 'Solo / Solitaire Game']","['Animals', 'Card Game', 'Economic', 'Educational']"
boardgame,Dominion: Intrigue,2009,2,4,30,30,30.0,13,10,7.58573,7.72959,28937,2.4281,1301,4045,1017473,1044,41783,570,445,2899,"['Deck, Bag, and Pool Building', 'Hand Management']","['Card Game', 'Medieval']"
boardgame,Mysterium,2015,2,7,42,42,42.0,10,8,7.20187,7.3392,28678,1.9061,660,4074,1243176,987,43262,612,688,6106,"['Communication Limits', 'Cooperative Game', 'Deduction', 'Finale Ending', 'Hand Management', 'Pattern Recognition']","['Deduction', 'Horror', 'Murder/Mystery', 'Party Game']"
boardgame,Risk,1959,2,6,120,120,120.0,10,8,5.45438,5.58391,28519,2.09,2155,6716,1352868,656,43909,992,33,510,"['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Player Elimination', 'Set Collection']","['Territory Building', 'Wargame']"
boardgame,Tzolk'in: The Mayan Calendar,2012,2,4,90,90,90.0,13,12,7.76194,7.90966,28059,3.6573,1529,4297,1540729,1380,32265,255,1470,7375,"['End Game Bonuses', 'Turn Order: Claim Action', 'Worker Placement']","['Ancient', 'Civilization', 'Economic', 'Farming', 'Mythology']"
boardgame,Galaxy Trucker,2007,2,4,60,60,60.0,10,10,7.30172,7.41897,27907,2.3267,1454,5688,1318226,1142,30267,571,1205,6365,"['Dice Rolling', 'Events', 'Real-Time', 'Relative Movement', 'Team-Based Game', 'Tile Placement', 'Track Movement']","['Real-time', 'Science Fiction', 'Space Exploration', 'Transportation']"
boardgame,Hive,2000,2,2,20,20,20.0,9,8,7.19115,7.31994,27545,2.3325,1624,6095,1262707,1177,35715,510,574,4096,"['Grid Movement', 'Hexagon Grid', 'Pieces as Map', 'Tile Placement']","['Abstract Strategy', 'Animals']"
boardgame,Sheriff of Nottingham,2014,3,5,60,60,60.0,14,8,7.04157,7.1636,27498,1.6552,670,4276,1063887,831,42435,928,592,5314,"['Bribery', 'Card Drafting', 'Hand Management', 'Role Playing', 'Set Collection']","['Bluffing', 'Card Game', 'Humor', 'Medieval', 'Negotiation', 'Novel-based', 'Party Game']"
boardgame,Eldritch Horror,2013,1,8,120,240,180.0,14,14,7.59412,7.82545,27155,3.3168,1389,4342,2892712,3205,39930,638,764,7122,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Point to Point Movement', 'Role Playing', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based', 'Travel']"
boardgame,Alhambra,2003,2,6,45,60,52.5,8,8,6.91721,7.02468,27141,2.1093,2186,6198,1133834,633,32728,831,466,3228,"['Card Drafting', 'Hand Management', 'Set Collection', 'Tile Placement']","['Arabian', 'City Building', 'Medieval']"
boardgame,Kingdomino,2016,2,4,15,20,17.5,8,6,7.23125,7.36321,27094,1.2053,570,4033,0,0,45020,485,355,2946,"['Card Drafting', 'Pattern Building', 'Tile Placement']","['City Building', 'Medieval', 'Territory Building']"
boardgame,A Game of Thrones: The Board Game (Second Edition),2011,3,6,120,240,180.0,14,14,7.42417,7.6251,26931,3.7111,1454,3977,2161953,2482,35914,906,560,4910,"['Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Auction: Sealed Bid', 'Card Play Conflict Resolution', 'Hand Management', 'Order Counters', 'Player Elimination', ""Prisoner's Dilemma"", 'Simultaneous Action Selection', 'Variable Player Powers']","['Bluffing', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']"
boardgame,Chess,1475,2,2,60,60,60.0,6,6,6.92826,7.10691,26560,3.7103,2202,6237,453302,828,36568,178,28,270,"['Grid Movement', 'Pattern Movement', 'Square Grid', 'Static Capture']",['Abstract Strategy']
boardgame,Caverna: The Cave Farmers,2013,1,7,30,210,120.0,12,12,7.86734,8.03631,26345,3.7847,1384,4315,2174983,1708,33009,432,1720,9795,"['Automatic Resource Growth', 'Increase Value of Unchosen Resources', 'Tile Placement', 'Turn Order: Claim Action', 'Worker Placement']","['Animals', 'Economic', 'Fantasy', 'Farming']"
boardgame,Mage Knight Board Game,2011,1,4,60,240,150.0,14,14,7.88805,8.10032,26190,4.2965,2273,5370,4069282,3835,37485,962,1192,9656,"['Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting']"
boardgame,Monopoly,1933,2,8,60,180,120.0,8,8,4.29976,4.35904,26187,1.6593,1767,6101,916867,353,34710,396,15,267,"['Auction/Bidding', 'Income', 'Lose a Turn', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Track Movement', 'Trading']","['Economic', 'Negotiation']"
boardgame,Cosmic Encounter,2008,3,5,60,120,90.0,12,12,7.38154,7.54351,26018,2.5713,1248,5439,1872227,1824,31965,622,1193,7385,"['Alliances', 'Auction/Bidding', 'Hand Management', 'Negotiation', ""Prisoner's Dilemma"", 'Race', 'Simultaneous Action Selection', 'Take That', 'Trading', 'Variable Player Powers']","['Bluffing', 'Negotiation', 'Science Fiction', 'Space Exploration']"
boardgame,Caylus,2005,2,5,60,150,105.0,12,12,7.62786,7.78897,25927,3.8067,3145,6032,1951514,1149,26128,538,915,5186,"['Ownership', 'Turn Order: Claim Action', 'Turn Order: Pass Order', 'Variable Setup', 'Worker Placement']","['City Building', 'Economic', 'Medieval']"
boardgame,Android: Netrunner,2012,2,2,45,45,45.0,14,12,7.68392,7.87973,25765,3.383,1530,5332,4271947,3851,40041,1460,555,4356,"['Action Points', 'Hand Management', 'Secret Unit Deployment', 'Take That', 'Variable Player Powers']","['Bluffing', 'Card Game', 'Collectible Components', 'Science Fiction']"
boardgame,The Resistance: Avalon,2012,5,10,30,30,30.0,13,12,7.42322,7.59515,25414,1.7722,869,3818,1309320,1051,35597,598,291,3446,"['Hidden Roles', 'Roles with Asymmetric Information', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Voting']","['Bluffing', 'Card Game', 'Deduction', 'Fantasy', 'Medieval', 'Negotiation', 'Party Game', 'Spies/Secret Agents']"
boardgame,Eclipse,2011,2,6,60,180,120.0,14,12,7.73251,7.91236,25338,3.697,1858,4645,3265751,2822,26212,677,1003,7139,"['Area Majority / Influence', 'Dice Rolling', 'Grid Movement', 'Map Addition', 'Modular Board', 'Player Elimination', 'Tile Placement', 'Variable Phase Order', 'Variable Player Powers']","['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']"
boardgame,Great Western Trail,2016,2,4,75,150,112.5,12,12,8.10351,8.28596,25272,3.6994,988,3380,2017673,1304,30198,143,1761,8623,"['Deck, Bag, and Pool Building', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Variable Setup']","['American West', 'Animals']"
boardgame,BANG!,2002,4,7,20,40,30.0,10,10,6.3717,6.51344,25217,1.636,2066,5692,1450837,745,30113,970,127,1544,"['Hand Management', 'Hidden Roles', 'Kill Steal', 'Player Elimination', 'Take That', 'Team-Based Game', 'Variable Player Powers']","['American West', 'Bluffing', 'Card Game', 'Deduction', 'Fighting']"
boardgame,Le Havre,2008,1,5,30,150,90.0,12,12,7.72781,7.87412,25101,3.7458,1798,4994,1950675,1481,27843,357,1641,7848,"['Automatic Resource Growth', 'End Game Bonuses', 'Increase Value of Unchosen Resources', 'Loans', 'Ownership', 'Worker Placement']","['City Building', 'Economic', 'Industry / Manufacturing', 'Nautical']"
boardgame,Scrabble,1948,2,4,90,90,90.0,10,8,6.16638,6.27984,25071,2.0991,1635,5808,586098,415,43922,481,23,335,"['Hand Management', 'Square Grid', 'Tile Placement']",['Word Game']
boardgame,Concordia,2013,2,5,100,100,100.0,13,12,7.95244,8.11439,24829,3.0408,1055,4128,1713582,1165,28319,209,1584,7683,"['Action Retrieval', 'Advantage Token', 'Card Drafting', 'Movement Points', 'Moving Multiple Units', 'Point to Point Movement', 'Variable Setup']","['Ancient', 'Economic', 'Nautical']"
boardgame,Shadows over Camelot,2005,3,7,60,80,70.0,10,10,6.98853,7.12257,24691,2.5653,1953,5821,1370054,968,30528,758,990,6569,"['Communication Limits', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Player Elimination', 'Set Collection', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']","['Adventure', 'Bluffing', 'Deduction', 'Fantasy', 'Medieval', 'Mythology']"
boardgame,Memoir '44,2004,2,8,30,60,45.0,8,8,7.39404,7.55908,24437,2.2747,2221,6266,2130381,1810,31900,656,1002,5478,"['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Line of Sight', 'Modular Board', 'Movement Points', 'Scenario / Mission / Campaign Game', 'Simulation']","['Miniatures', 'Wargame', 'World War II']"
boardgame,Tigris & Euphrates,1997,2,4,90,90,90.0,12,12,7.54111,7.69843,24406,3.5117,2603,6357,1799415,954,27160,581,1198,5594,"['Area Majority / Influence', 'Hand Management', 'Highest-Lowest Scoring', 'Set Collection', 'Tile Placement']","['Ancient', 'Civilization', 'Territory Building']"
boardgame,Roll for the Galaxy,2014,2,5,45,45,45.0,13,12,7.54414,7.69065,24289,2.7714,796,3758,1390652,1061,29926,455,1252,6746,"['Dice Rolling', 'Follow', 'Simultaneous Action Selection', 'Variable Phase Order', 'Variable Player Powers']","['Civilization', 'Dice', 'Economic', 'Science Fiction', 'Space Exploration']"
boardgame,Viticulture Essential Edition,2015,1,6,45,90,67.5,13,12,7.91667,8.10355,24265,2.9179,682,3427,1161433,1253,32377,181,1511,7922,"['Contracts', 'Hand Management', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Worker Placement', 'Worker Placement, Different Worker Types']","['Economic', 'Farming']"
boardgame,Machi Koro,2012,2,4,30,30,30.0,10,8,6.53001,6.63361,24187,1.5363,951,4295,1090572,695,37376,1126,259,2380,"['Card Drafting', 'Dice Rolling']","['Card Game', 'City Building', 'Dice']"
boardgame,Arkham Horror: The Card Game,2016,1,2,60,120,90.0,14,14,7.92682,8.19116,23827,3.3957,738,3785,4603707,2860,42685,551,803,6700,"['Action Points', 'Cooperative Game', 'Deck Construction', 'Hand Management', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']"
